2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over
,,,,,,,,,,
Leeds 001A,E01011698,696,104,28,43,109,61,10,8,8
Leeds 001B,E01011699,599,69,14,52,93,44,12,4,6
Leeds 001C,E01011701,622,77,21,37,116,46,9,9,7
Leeds 001D,E01011702,717,43,14,37,118,62,6,11,14
Leeds 001E,E01011703,406,18,2,19,66,51,4,5,5
Leeds 002A,E01011697,832,51,73,18,186,46,8,11,10
Leeds 002B,E01011700,568,94,23,25,92,53,18,3,11
Leeds 002C,E01011704,952,117,39,48,167,94,13,11,12
Leeds 002D,E01011705,624,133,50,28,102,40,8,4,15
Leeds 003A,E01011581,743,88,35,65,151,22,6,4,10
Leeds 003B,E01011582,708,126,50,74,145,34,8,1,9
Leeds 003C,E01011583,755,111,31,63,176,29,2,4,2
Leeds 003D,E01011584,799,95,27,43,189,36,8,3,9
Leeds 004A,E01011569,841,85,30,65,178,21,7,8,11
Leeds 004B,E01011571,784,86,44,50,135,32,6,5,9
Leeds 004C,E01011572,914,109,33,73,226,27,4,3,4
Leeds 004D,E01011573,636,72,73,65,112,25,1,3,2
Leeds 004E,E01011574,576,73,31,32,112,21,7,5,2
Leeds 005A,E01011707,570,41,55,22,115,43,8,4,6
Leeds 005B,E01011709,864,44,56,21,181,60,12,14,11
Leeds 005C,E01011710,680,24,38,34,130,46,7,6,12
Leeds 005D,E01011711,639,30,42,15,133,52,6,8,11
Leeds 005E,E01011712,713,24,24,54,151,41,10,14,7
Leeds 006A,E01011561,604,18,20,96,90,18,3,1,6
Leeds 006B,E01011696,693,14,37,29,123,39,5,4,6
Leeds 006C,E01011706,660,12,34,21,136,50,6,5,7
Leeds 006D,E01011708,704,11,12,57,172,49,7,12,6
Leeds 006E,E01011713,836,10,27,104,149,30,6,7,7
Leeds 007A,E01011570,1116,26,87,102,256,39,9,4,10
Leeds 007C,E01011576,701,6,13,84,150,18,1,5,7
Leeds 007E,E01032503,679,19,54,64,133,21,2,1,8
Leeds 007F,E01032504,755,14,33,116,106,27,2,10,5
Leeds 008A,E01011266,1439,100,106,148,210,33,10,10,20
Leeds 008B,E01011270,785,33,42,115,101,24,4,8,11
Leeds 008C,E01011279,632,54,61,57,86,29,4,4,5
Leeds 008D,E01011280,1082,70,74,124,181,28,4,8,4
Leeds 009A,E01011265,955,75,62,103,162,12,4,7,5
Leeds 009B,E01011267,760,105,71,91,135,19,1,4,5
Leeds 009C,E01011271,1072,81,67,122,173,32,1,6,5
Leeds 009D,E01011272,712,70,52,72,133,17,5,1,5
Leeds 010A,E01011268,638,144,60,70,107,18,3,4,3
Leeds 010B,E01011273,797,116,51,89,149,25,2,3,4
Leeds 010C,E01011274,593,130,56,59,88,18,3,0,0
Leeds 010D,E01011275,656,84,65,73,121,13,4,2,3
Leeds 011A,E01011264,580,90,54,55,105,11,2,6,7
Leeds 011B,E01011269,770,154,68,69,141,20,2,13,4
Leeds 011C,E01011276,924,101,77,97,153,32,2,14,3
Leeds 011D,E01011578,601,68,52,60,114,16,4,0,5
Leeds 012A,E01011554,662,20,41,107,74,10,2,4,14
Leeds 012B,E01011562,706,19,45,127,68,16,9,4,15
Leeds 012C,E01011563,619,17,43,114,71,10,3,4,11
Leeds 012D,E01011564,741,19,58,155,66,16,4,7,3
Leeds 012E,E01011567,708,31,71,121,72,8,4,7,9
Leeds 013A,E01011376,832,34,43,195,81,18,4,2,8
Leeds 013B,E01011377,624,34,36,129,63,12,5,5,7
Leeds 013C,E01011378,532,51,48,127,62,11,3,5,0
Leeds 013D,E01011382,807,56,63,134,57,21,6,6,4
Leeds 014A,E01011277,887,97,81,96,153,20,3,4,1
Leeds 014B,E01011278,897,83,66,101,146,24,3,8,4
